Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
2119. A Number After a Double Reversal,Easy,122.2K,98.4K,80.5%,687,31,math
2120. Execution of All Suffix Instructions Staying in a Grid,Medium,39.8K,32.9K,82.8%,543,7,"string, simulation"
2121. Intervals Between Identical Elements,Medium,48.2K,21.5K,44.6%,920,15,"array, hash-table, prefix-sum"
2122. Recover the Original Array,Hard,28.7K,11.4K,39.9%,376,4,"array, hash-table, two-pointers, sorting, enumeration"
2124. Check if All A's Appears Before All B's,Easy,125.1K,90.2K,72.2%,747,20,string
2125. Number of Laser Beams in a Bank,Medium,250.9K,214.6K,85.6%,1.9K,124,"array, math, string, matrix"
2126. Destroying Asteroids,Medium,95.3K,49.5K,51.9%,559,30,"array, greedy, sorting"
2127. Maximum Employees to Be Invited to a Meeting,Hard,37.8K,14.2K,37.5%,1.1K,14,"depth-first-search, graph, topological-sort"
2129. Capitalize the Title,Easy,106.4K,69.4K,65.3%,744,13,string
2130. Maximum Twin Sum of a Linked List,Medium,415.2K,336.7K,81.1%,3.6K,91,"linked-list, two-pointers, stack"
2131. Longest Palindrome by Concatenating Two Letter Words,Medium,258.2K,123.6K,47.9%,2.5K,34,"array, hash-table, string, greedy, counting"
2132. Stamping the Grid,Hard,23.6K,7.7K,32.6%,390,8,"array, greedy, matrix, prefix-sum"
2133. Check if Every Row and Column Contains All Numbers,Easy,157.5K,82.1K,52.1%,980,14,"array, hash-table, matrix"
2134. Minimum Swaps to Group All 1's Together II,Medium,242.2K,158.8K,65.6%,2K,144,"array, sliding-window"
2135. Count Words Obtained After Adding a Letter,Medium,83K,35.9K,43.3%,698,11,"array, hash-table, string, bit-manipulation, sorting"
2136. Earliest Possible Day of Full Bloom,Hard,78.4K,56.2K,71.7%,1.6K,19,"array, greedy, sorting"
2138. Divide a String Into Groups of Size k,Easy,75K,50.4K,67.2%,466,7,"string, simulation"
2139. Minimum Moves to Reach Target Score,Medium,91.6K,46.9K,51.2%,1K,12,"math, greedy"
2140. Solving Questions With Brainpower,Medium,197.1K,108.6K,55.1%,2.4K,75,"array, dynamic-programming"
2141. Maximum Running Time of N Computers,Hard,124.1K,62K,49.9%,2K,53,"array, binary-search, greedy, sorting"
2144. Minimum Cost of Buying Candies With Discount,Easy,89.2K,55K,61.7%,601,8,"array, greedy, sorting"
2145. Count the Hidden Sequences,Medium,50.6K,19.8K,39.2%,524,8,"array, prefix-sum"
