Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
3070. Count Submatrices with Top-Left Element and Sum Less Than k,Medium,44.8K,26.7K,59.5%,138,18,"array, matrix, prefix-sum"
3071. Minimum Operations to Write the Letter Y on a Grid,Medium,31.3K,19.8K,63.5%,99,24,"array, hash-table, matrix, counting"
3072. Distribute Elements Into Two Arrays II,Hard,37.5K,10.6K,28.3%,133,21,"array, binary-indexed-tree, segment-tree, simulation"
3074. Apple Redistribution into Boxes,Easy,73.2K,49.5K,67.6%,93,12,"array, greedy, sorting"
3075. Maximize Happiness of Selected Children,Medium,320.6K,176.3K,55.0%,647,211,"array, greedy, sorting"
3076. Shortest Uncommon Substring in an Array,Medium,49.6K,23K,46.5%,135,16,"array, hash-table, string, trie"
3077. Maximum Strength of K Disjoint Subarrays,Hard,23.5K,6.6K,28.0%,140,31,"array, dynamic-programming, prefix-sum"
3079. Find the Sum of Encrypted Integers,Easy,63.1K,47.1K,74.7%,104,13,"array, math"
3080. Mark Elements on Array by Performing Queries,Medium,37.7K,18.7K,49.6%,113,19,"array, hash-table, sorting, heap-priority-queue, simulation"
3081. Replace Question Marks in String to Minimize Its Value,Medium,50.4K,14K,27.8%,164,26,"hash-table, string, greedy, sorting, heap-priority-queue, counting"
3082. Find the Sum of the Power of All Subsequences,Hard,19.5K,7.6K,39.2%,136,11,"array, dynamic-programming"
3083. Existence of a Substring in a String and Its Reverse,Easy,69.3K,46.1K,66.6%,91,10,"hash-table, string"
3084. Count Substrings Starting and Ending with Given Character,Medium,76.7K,37.6K,49.1%,119,23,"math, string, counting"
3085. Minimum Deletions to Make String K-Special,Medium,45.8K,20.3K,44.4%,209,24,"hash-table, string, greedy, sorting, counting"
3086. Minimum Moves to Pick K Ones,Hard,13.8K,3.3K,23.7%,53,12,"array, greedy, sliding-window, prefix-sum"
3090. Maximum Length Substring With Two Occurrences,Easy,66.4K,42.7K,64.3%,177,24,"hash-table, string, sliding-window"
3091. Apply Operations to Make Sum of Array Greater Than or Equal to k,Medium,63.3K,28.2K,44.6%,161,29,"math, greedy, enumeration"
3092. Most Frequent IDs,Medium,47.6K,20.4K,42.9%,229,23,"array, hash-table, heap-priority-queue, ordered-set"
3093. Longest Common Suffix Queries,Hard,26.4K,10.5K,40.0%,140,28,"array, string, trie"
3095. Shortest Subarray With OR at Least K I,Easy,69.9K,29.1K,41.5%,89,9,"array, bit-manipulation, sliding-window"
3096. Minimum Levels to Gain More Points,Medium,55.7K,22.7K,40.9%,81,23,"array, prefix-sum"
3097. Shortest Subarray With OR at Least K II,Medium,46.1K,14.2K,30.7%,199,32,"array, bit-manipulation, sliding-window"
3098. Find the Sum of Subsequence Powers,Hard,20.5K,5.1K,24.8%,129,14,"array, dynamic-programming, sorting"
3099. Harshad Number,Easy,78.8K,65.5K,83.1%,132,11,math
3100. Water Bottles II,Medium,55.8K,35.7K,63.9%,138,28,"math, simulation"
3101. Count Alternating Subarrays,Medium,63.6K,36.6K,57.6%,211,23,"array, math"
3102. Minimize Manhattan Distances,Hard,26.6K,8.8K,33.0%,168,21,"array, math, geometry, sorting, ordered-set"
3105. Longest Strictly Increasing or Strictly Decreasing Subarray,Easy,73.8K,42.3K,57.2%,119,16,array
3106. Lexicographically Smallest String After Operations With Constraint,Medium,40.5K,25.8K,63.7%,149,16,"string, greedy"
3107. Minimum Operations to Make Median of Array Equal to K,Medium,52.1K,25.4K,48.7%,140,36,"array, greedy, sorting"
3108. Minimum Cost Walk in Weighted Graph,Hard,27.4K,12.7K,46.3%,193,21,"array, bit-manipulation, union-find, graph"
3110. Score of a String,Easy,315.1K,292.5K,92.8%,614,183,string
3111. Minimum Rectangles to Cover Points,Medium,42.7K,27.3K,64.0%,92,12,"array, greedy, sorting"
3112. Minimum Time to Visit Disappearing Nodes,Medium,57.4K,20.1K,35.1%,169,24,"array, graph, heap-priority-queue, shortest-path"
3113. Find the Number of Subarrays Where Boundary Elements Are Maximum,Hard,33.9K,10.4K,30.6%,214,20,"array, binary-search, stack, monotonic-stack"
3114. Latest Time You Can Obtain After Replacing Characters,Easy,97.7K,35K,35.8%,97,25,"string, enumeration"
3115. Maximum Prime Difference,Medium,68.5K,40K,58.3%,105,19,"array, math, number-theory"
3116. Kth Smallest Amount With Single Denomination Combination,Hard,50.5K,8.7K,17.2%,220,29,"array, math, binary-search, bit-manipulation, combinatorics, number-theory"
3117. Minimum Sum of Values by Dividing Array,Hard,18.3K,5.2K,28.4%,117,14,"array, binary-search, dynamic-programming, bit-manipulation, segment-tree, queue"
3120. Count the Number of Special Characters I,Easy,73.2K,48.4K,66.1%,136,12,"hash-table, string"
3121. Count the Number of Special Characters II,Medium,77.2K,32.3K,41.8%,151,18,"hash-table, string"
3122. Minimum Number of Operations to Satisfy Conditions,Medium,36.2K,15K,41.5%,224,32,"array, dynamic-programming, matrix"
3123. Find Edges in Shortest Paths,Hard,26.5K,12.7K,47.8%,243,18,"depth-first-search, breadth-first-search, graph, heap-priority-queue, shortest-path"
3127. Make a Square with the Same Color,Easy,52.5K,27.2K,51.9%,70,23,"array, matrix, enumeration"
3128. Right Triangles,Medium,40.5K,19.4K,47.9%,109,17,"array, hash-table, math, combinatorics, counting"
3129. Find All Possible Stable Binary Arrays I,Medium,30K,8.1K,27.1%,116,31,"dynamic-programming, prefix-sum"
3130. Find All Possible Stable Binary Arrays II,Hard,11.3K,3.2K,28.6%,63,5,"dynamic-programming, prefix-sum"
3131. Find the Integer Added to Array I,Easy,72.7K,59.9K,82.4%,133,23,array
3132. Find the Integer Added to Array II,Medium,70.3K,22.1K,31.4%,157,34,"array, two-pointers, sorting, enumeration"
3133. Minimum Array End,Medium,37.8K,14.5K,38.3%,209,15,bit-manipulation
3134. Find the Median of the Uniqueness Array,Hard,21.8K,6.3K,28.8%,149,14,"array, hash-table, binary-search, sliding-window"
3136. Valid Word,Easy,116.9K,44.6K,38.1%,108,47,string
3137. Minimum Number of Operations to Make Word K-Periodic,Medium,39.5K,24.8K,62.7%,115,14,"hash-table, string, counting"
3138. Minimum Length of Anagram Concatenation,Medium,68.3K,28.5K,41.8%,174,58,"hash-table, string, counting"
3139. Minimum Cost to Equalize Array,Hard,26.4K,4.5K,17.0%,120,27,"array, greedy, enumeration"
3142. Check if Grid Satisfies Conditions,Easy,77.7K,34K,43.7%,73,11,"array, matrix"
3143. Maximum Points Inside the Square,Medium,45.3K,17.7K,39.1%,150,26,"array, hash-table, string, binary-search, sorting"
3144. Minimum Substring Partition of Equal Character Frequency,Medium,34.4K,14.2K,41.3%,135,35,"hash-table, string, dynamic-programming, counting"
3145. Find Products of Elements of Big Array,Hard,8.3K,2.1K,25.8%,56,10,"array, binary-search, bit-manipulation"
3146. Permutation Difference between Two Strings,Easy,86.1K,76.8K,89.2%,134,24,"hash-table, string"
3147. Taking Maximum Energy From the Mystic Dungeon,Medium,73.6K,30K,40.8%,152,37,"array, prefix-sum"
3148. Maximum Difference Score in a Grid,Medium,38.6K,18.5K,48.0%,232,35,"array, dynamic-programming, matrix"
3149. Find the Minimum Cost Array Permutation,Hard,19.4K,4.5K,23.3%,108,13,"array, dynamic-programming, bit-manipulation, bitmask"
3151. Special Array I,Easy,80.8K,61.2K,75.7%,101,21,array
3152. Special Array II,Medium,106.2K,32.1K,30.3%,195,23,"array, binary-search, prefix-sum"
3153. Sum of Digit Differences of All Pairs,Medium,55.3K,24.1K,43.5%,184,27,"array, hash-table, math, counting"
3154. Find Number of Ways to Reach the K-th Stair,Hard,31.6K,11.6K,36.8%,143,27,"math, dynamic-programming, bit-manipulation, memoization, combinatorics"
3158. Find the XOR of Numbers Which Appear Twice,Easy,60.8K,49.8K,81.9%,102,13,"array, hash-table, bit-manipulation"
3159. Find Occurrences of an Element in an Array,Medium,51.6K,38K,73.6%,122,19,"array, hash-table"
3160. Find the Number of Distinct Colors Among the Balls,Medium,60.5K,25K,41.3%,110,31,"array, hash-table, simulation"
3161. Block Placement Queries,Hard,36.2K,5.2K,14.4%,106,25,"array, binary-search, binary-indexed-tree, segment-tree"
3162. Find the Number of Good Pairs I,Easy,79.2K,68.8K,86.8%,108,15,"array, hash-table"
3163. String Compression III,Medium,74.1K,41.5K,56.0%,117,23,string
3164. Find the Number of Good Pairs II,Medium,99.5K,25.8K,25.9%,221,29,"array, hash-table"
3165. Maximum Sum of Subsequence With Non-adjacent Elements,Hard,36.1K,6.1K,17.0%,114,24,"array, divide-and-conquer, dynamic-programming, segment-tree"
3168. Minimum Number of Chairs in a Waiting Room,Easy,68.8K,55.6K,80.8%,113,10,"string, simulation"
3169. Count Days Without Meetings,Medium,116.5K,39.7K,34.1%,204,29,"array, sorting"
3170. Lexicographically Minimum String After Removing Stars,Medium,74.6K,26.8K,36.0%,198,44,"hash-table, string, stack, greedy, heap-priority-queue"
3171. Find Subarray With Bitwise OR Closest to K,Hard,40.3K,12.6K,31.3%,177,23,"array, binary-search, bit-manipulation, segment-tree"
3174. Clear Digits,Easy,75.8K,55.6K,73.4%,97,17,"string, stack, simulation"
3175. Find The First Player to win K Games in a Row,Medium,79.4K,31.6K,39.7%,120,33,"array, simulation"
3176. Find the Maximum Length of a Good Subsequence I,Medium,59.6K,18.4K,30.9%,138,57,"array, hash-table, dynamic-programming"
3177. Find the Maximum Length of a Good Subsequence II,Hard,28.3K,7K,24.8%,115,11,"array, hash-table, dynamic-programming"
3178. Find the Child Who Has the Ball After K Seconds,Easy,77.2K,48K,62.1%,142,17,"math, simulation"
3179. Find the N-th Value After K Seconds,Medium,70.7K,38.6K,54.6%,100,13,"array, math, simulation, combinatorics, prefix-sum"
3180. Maximum Total Reward Using Operations I,Medium,87.6K,26K,29.7%,171,64,"array, dynamic-programming"
3181. Maximum Total Reward Using Operations II,Hard,32.5K,6.9K,21.3%,116,20,"array, dynamic-programming, bit-manipulation"
3184. Count Pairs That Form a Complete Day I,Easy,75.5K,59.8K,79.2%,116,11,"array, hash-table, counting"
3185. Count Pairs That Form a Complete Day II,Medium,96.3K,41.6K,43.2%,170,16,"array, hash-table, counting"
3186. Maximum Total Damage With Spell Casting,Medium,93.6K,25K,26.7%,236,80,"array, hash-table, two-pointers, binary-search, dynamic-programming, sorting, counting"
3187. Peaks in Array,Hard,34K,9.3K,27.3%,116,13,"array, binary-indexed-tree, segment-tree"
3190. Find Minimum Operations to Make All Elements Divisible by Three,Easy,107.9K,97.1K,90.0%,150,26,"array, math"
3191. Minimum Operations to Make Binary Array Elements Equal to One I,Medium,63.7K,45.2K,71.0%,148,30,"array, bit-manipulation, queue, sliding-window, prefix-sum"
3192. Minimum Operations to Make Binary Array Elements Equal to One II,Medium,54.8K,35.9K,65.4%,122,24,"array, dynamic-programming, greedy"
3193. Count the Number of Inversions,Hard,20.1K,6.8K,34.1%,104,18,"array, dynamic-programming"
3194. Minimum Average of Smallest and Largest Elements,Easy,81.8K,69.9K,85.4%,120,16,"array, two-pointers, sorting"
3195. Find the Minimum Area to Cover All Ones I,Medium,55.2K,40.7K,73.8%,106,18,"array, matrix"
3196. Maximize Total Cost of Alternating Subarrays,Medium,76K,21.8K,28.8%,165,56,"array, dynamic-programming"
3197. Find the Minimum Area to Cover All Ones II,Hard,12.3K,4.7K,38.1%,70,16,"array, matrix, enumeration"
3200. Maximum Height of a Triangle,Easy,86.3K,37.1K,43.0%,138,41,"array, enumeration"
3201. Find the Maximum Length of Valid Subsequence I,Medium,69K,26.3K,38.2%,131,17,"array, dynamic-programming"
3202. Find the Maximum Length of Valid Subsequence II,Medium,44K,17.5K,39.8%,184,25,"array, dynamic-programming"
3203. Find Minimum Diameter After Merging Two Trees,Hard,25.5K,9.2K,36.1%,133,18,"tree, depth-first-search, breadth-first-search, graph"
3206. Alternating Groups I,Easy,72.8K,49K,67.3%,90,17,"array, sliding-window"
3207. Maximum Points After Enemy Battles,Medium,80.9K,25.9K,32.0%,100,49,"array, greedy"
3208. Alternating Groups II,Medium,57.9K,23.7K,40.9%,143,32,"array, sliding-window"
3209. Number of Subarrays With AND Value of K,Hard,32.4K,11.2K,34.5%,145,17,"array, binary-search, bit-manipulation, segment-tree"
3210. Find the Encrypted String,Easy,79.7K,55K,69.0%,89,14,string
3211. Generate Binary Strings Without Adjacent Zeros,Medium,52.7K,45.6K,86.6%,161,31,"string, bit-manipulation, recursion"
3212. Count Submatrices With Equal Frequency of X and Y,Medium,44.6K,23.3K,52.2%,135,27,"array, matrix, prefix-sum"
3213. Construct String with Minimum Cost,Hard,57.9K,11.6K,20.0%,147,41,"array, string, dynamic-programming, suffix-array"
3216. Lexicographically Smallest String After a Swap,Easy,85.5K,46.1K,54.0%,80,19,"string, greedy"
3217. Delete Nodes From Linked List Present in Array,Medium,257.1K,177.4K,69.0%,608,97,"array, hash-table, linked-list"
3218. Minimum Cost for Cutting Cake I,Medium,45.4K,26.4K,58.2%,166,47,"array, dynamic-programming, greedy, sorting"
3219. Minimum Cost for Cutting Cake II,Hard,37.1K,20.8K,56.1%,103,31,"array, greedy, sorting"
3220. Odd and Even Transactions,Medium,10.6K,7.4K,70.0%,28,14,database
3222. Find the Winning Player in Coin Game,Easy,76.9K,39.9K,51.9%,87,19,"math, simulation, game-theory"
3223. Minimum Length of String After Operations,Medium,53.2K,29.5K,55.5%,94,21,"hash-table, string, counting"
3224. Minimum Array Changes to Make Differences Equal,Medium,55K,12.8K,23.2%,206,57,"array, hash-table, prefix-sum"
3225. Maximum Score From Grid Operations,Hard,6K,1.7K,28.7%,59,23,"array, dynamic-programming, matrix, prefix-sum"
3226. Number of Bit Changes to Make Two Integers Equal,Easy,65.3K,42.4K,64.8%,87,13,bit-manipulation
3227. Vowels Game in a String,Medium,60.1K,37.9K,63.0%,131,65,"math, string, brainteaser, game-theory"
3228. Maximum Number of Operations to Move Ones to the End,Medium,51.4K,27.9K,54.2%,158,41,"string, greedy, counting"
3229. Minimum Operations to Make Array Equal to Target,Hard,39.2K,15.3K,38.9%,206,27,"array, dynamic-programming, stack, greedy, monotonic-stack"
3232. Find if Digit Game Can Be Won,Easy,79.1K,65.9K,83.4%,112,18,"array, math"
3233. Find the Count of Numbers Which Are Not Special,Medium,122.8K,32.9K,26.8%,170,39,"array, math, number-theory"
3234. Count the Number of Substrings With Dominant Ones,Medium,45.7K,7.3K,16.1%,233,69,"string, sliding-window, enumeration"
3235. Check if the Rectangle Corner Is Reachable,Hard,23.1K,6.4K,27.7%,99,44,"array, math, depth-first-search, breadth-first-search, union-find, geometry"
3238. Find the Number of Winning Players,Easy,63.9K,39.3K,61.4%,73,21,"array, hash-table, counting"
3239. Minimum Number of Flips to Make Binary Grid Palindromic I,Medium,41.8K,32.7K,78.3%,60,6,"array, two-pointers, matrix"
3240. Minimum Number of Flips to Make Binary Grid Palindromic II,Medium,41.6K,9.7K,23.3%,119,43,"array, two-pointers, matrix"
3241. Time Taken to Mark All Nodes,Hard,16.3K,4.1K,25.0%,91,22,"dynamic-programming, tree, depth-first-search, graph"
3242. Design Neighbor Sum Service,Easy,43K,35.7K,83.1%,82,16,"array, hash-table, design, matrix, simulation"
3243. Shortest Distance After Road Addition Queries I,Medium,55.3K,26.2K,47.5%,107,20,"array, breadth-first-search, graph"
3244. Shortest Distance After Road Addition Queries II,Hard,46.6K,11.1K,23.9%,154,35,"array, greedy, graph, ordered-set"
3245. Alternating Groups III,Hard,9.8K,1.4K,14.8%,53,18,"array, binary-indexed-tree"
3248. Snake in Matrix,Easy,64.1K,52.8K,82.5%,115,12,"array, string, simulation"
3249. Count the Number of Good Nodes,Medium,47.1K,26.2K,55.7%,149,39,"tree, depth-first-search"
3250. Find the Count of Monotonic Pairs I,Hard,34.2K,15.8K,46.1%,124,16,"array, math, dynamic-programming, combinatorics, prefix-sum"
3251. Find the Count of Monotonic Pairs II,Hard,26.1K,6K,22.8%,83,15,"array, math, dynamic-programming, combinatorics, prefix-sum"
3254. Find the Power of K-Size Subarrays I,Medium,72.9K,39.2K,53.7%,75,12,"array, sliding-window"
3255. Find the Power of K-Size Subarrays II,Medium,91.3K,24.4K,26.8%,115,31,"array, sliding-window"
3256. Maximum Value Sum by Placing Three Rooks I,Hard,51.8K,7.5K,14.5%,94,22,"array, dynamic-programming, matrix, enumeration"
3257. Maximum Value Sum by Placing Three Rooks II,Hard,15.6K,4.3K,27.8%,47,14,"array, dynamic-programming, matrix, enumeration"
3258. Count Substrings That Satisfy K-Constraint I,Easy,49.9K,40K,80.3%,99,11,"string, sliding-window"
3259. Maximum Energy Boost From Two Drinks,Medium,61.4K,30.1K,49.0%,143,25,"array, dynamic-programming"
3260. Find the Largest Palindrome Divisible by K,Hard,45.9K,6.8K,14.8%,86,35,"math, string, dynamic-programming, greedy, number-theory"
3261. Count Substrings That Satisfy K-Constraint II,Hard,19.3K,4.1K,21.5%,116,19,"array, string, binary-search, sliding-window, prefix-sum"
3264. Final Array State After K Multiplication Operations I,Easy,60.9K,49.8K,81.8%,100,16,"array, math, heap-priority-queue, simulation"
3265. Count Almost Equal Pairs I,Medium,67.4K,25K,37.1%,142,42,"array, hash-table, sorting, counting, enumeration"
3266. Final Array State After K Multiplication Operations II,Hard,69.8K,7.2K,10.4%,143,43,"array, heap-priority-queue, simulation"
3267. Count Almost Equal Pairs II,Hard,25.4K,5.3K,20.8%,68,24,"array, hash-table, sorting, counting, enumeration"
3270. Find the Key of the Numbers,Easy,52.4K,40.2K,76.8%,71,9,math
3271. Hash Divided String,Medium,41.7K,35.2K,84.6%,70,14,"string, simulation"
3272. Find the Count of Good Integers,Hard,16.1K,4.8K,29.8%,82,11,"hash-table, math, combinatorics, enumeration"
3273. Minimum Amount of Damage Dealt to Bob,Hard,28.7K,10.9K,38.0%,141,35,"array, greedy, sorting"
3274. Check if Two Chessboard Squares Have the Same Color,Easy,67.8K,47.5K,70.1%,88,13,"math, string"
3275. K-th Nearest Obstacle Queries,Medium,64.9K,31K,47.8%,88,20,"array, heap-priority-queue"
3276. Select Cells in Grid With Maximum Score,Hard,70K,9.5K,13.5%,196,23,"array, dynamic-programming, bit-manipulation, matrix, bitmask"
